"filename", "language", "JavaScript", "Vue.js", "Markdown", "CSS", "JSON", "JSON with Comments", "HTML", "comment", "blank", "total"
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\src\views\Newmessages.vue", "Vue.js", 0, 301, 0, 0, 0, 0, 0, 6, 3, 310
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\src\views\News.vue", "Vue.js", 0, 85, 0, 0, 0, 0, 0, 6, 3, 94
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\src\views\Production.vue", "Vue.js", 0, 257, 0, 0, 0, 0, 0, 2, 5, 264
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\src\views\Productionapiary.vue", "Vue.js", 0, 491, 0, 0, 0, 0, 0, 2, 10, 503
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\src\views\Productionhive.vue", "Vue.js", 0, 318, 0, 0, 0, 0, 0, 2, 5, 325
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\src\views\Report.vue", "Vue.js", 0, 232, 0, 0, 0, 0, 0, 5, 6, 243
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\src\views\Swarming.vue", "Vue.js", 0, 344, 0, 0, 0, 0, 0, 8, 4, 356
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\src\views\Users.vue", "Vue.js", 0, 308, 0, 0, 0, 0, 0, 7, 3, 318
"c:\Users\duart\OneDrive - PGA\Ambiente de Trabalho\bhivesenseweb\bhivesenseweb\vue.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 5
"Total", "-", 1286, 14750, 19, 150, 21134, 9, 34, 1282, 521, 39185
